Track,Artist,Tag,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
El Efecto,Rauw Alejandro,Gianluca,0.849,0.781,0,-4.635,0,0.159,0.406,0,0.0801,0.893,84.041,audio_features,4SJHHpKhcuXwDsCsPqshXj,spotify:track:4SJHHpKhcuXwDsCsPqshXj,https://api.spotify.com/v1/tracks/4SJHHpKhcuXwDsCsPqshXj,https://api.spotify.com/v1/audio-analysis/4SJHHpKhcuXwDsCsPqshXj,217143,4
Callaita,Bad Bunny,Gianluca,0.61,0.624,2,-4.773,1,0.309,0.6,2.12e-06,0.243,0.244,176.169,audio_features,2TH65lNHgvLxCKXM3apjxI,spotify:track:2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/tracks/2TH65lNHgvLxCKXM3apjxI,https://api.spotify.com/v1/audio-analysis/2TH65lNHgvLxCKXM3apjxI,250534,4
QLONA,KAROL G,Gianluca,0.842,0.756,7,-7.409,0,0.338,0.525,2.21e-06,0.0871,0.421,169.925,audio_features,3XB5uhhlYSnkxpSihkNQwh,spotify:track:3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/tracks/3XB5uhhlYSnkxpSihkNQwh,https://api.spotify.com/v1/audio-analysis/3XB5uhhlYSnkxpSihkNQwh,172798,4
DILUVIO,Rauw Alejandro,Gianluca,0.845,0.795,9,-3.502,0,0.0681,0.343,1.78e-05,0.224,0.681,94.969,audio_features,2kz1YOhJiNubjigR1gB1VX,spotify:track:2kz1YOhJiNubjigR1gB1VX,https://api.spotify.com/v1/tracks/2kz1YOhJiNubjigR1gB1VX,https://api.spotify.com/v1/audio-analysis/2kz1YOhJiNubjigR1gB1VX,197053,4
PERRO NEGRO,Bad Bunny,Gianluca,0.911,0.778,5,-2.248,1,0.262,0.0887,2.16e-05,0.179,0.345,96.057,audio_features,7iQXYTyuG13aoeHxGG28Nh,spotify:track:7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/tracks/7iQXYTyuG13aoeHxGG28Nh,https://api.spotify.com/v1/audio-analysis/7iQXYTyuG13aoeHxGG28Nh,162768,4
Lollipop,Darell,Gianluca,0.822,0.711,6,-4.943,1,0.0668,0.179,1.46e-05,0.083,0.934,102.984,audio_features,3cDyocF0Ibdfs1SFQk5cLZ,spotify:track:3cDyocF0Ibdfs1SFQk5cLZ,https://api.spotify.com/v1/tracks/3cDyocF0Ibdfs1SFQk5cLZ,https://api.spotify.com/v1/audio-analysis/3cDyocF0Ibdfs1SFQk5cLZ,199947,4
EN VISTO,Jd Pantoja,Gianluca,0.784,0.6,10,-4.156,0,0.0637,0.131,0,0.203,0.492,98.008,audio_features,4vkpX20Y5pDXuF2iIVYb4e,spotify:track:4vkpX20Y5pDXuF2iIVYb4e,https://api.spotify.com/v1/tracks/4vkpX20Y5pDXuF2iIVYb4e,https://api.spotify.com/v1/audio-analysis/4vkpX20Y5pDXuF2iIVYb4e,110573,4
Labios Mordidos (with KAROL G),Kali Uchis,Gianluca,0.715,0.886,0,-4.446,1,0.0421,0.287,0.000165,0.329,0.748,90.005,audio_features,1HLaJowFbNM3MPyqnk5vjW,spotify:track:1HLaJowFbNM3MPyqnk5vjW,https://api.spotify.com/v1/tracks/1HLaJowFbNM3MPyqnk5vjW,https://api.spotify.com/v1/audio-analysis/1HLaJowFbNM3MPyqnk5vjW,195373,4
Columbia,Quevedo,Gianluca,0.668,0.712,5,-5.927,1,0.0381,0.369,2.13e-05,0.108,0.264,100.02,audio_features,6XbtvPmIpyCbjuT0e8cQtp,spotify:track:6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/tracks/6XbtvPmIpyCbjuT0e8cQtp,https://api.spotify.com/v1/audio-analysis/6XbtvPmIpyCbjuT0e8cQtp,186000,4
LOCO X PERREARTE,Wisin,Gianluca,0.74,0.899,1,-5.486,0,0.106,0.0856,0.0627,0.0541,0.842,162.02,audio_features,1s7AggVbT1tlkjwfVCjvux,spotify:track:1s7AggVbT1tlkjwfVCjvux,https://api.spotify.com/v1/tracks/1s7AggVbT1tlkjwfVCjvux,https://api.spotify.com/v1/audio-analysis/1s7AggVbT1tlkjwfVCjvux,213044,4
LALA,Myke Towers,Gianluca,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,91.986,audio_features,7ABLbnD53cQK00mhcaOUVG,spotify:track:7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/tracks/7ABLbnD53cQK00mhcaOUVG,https://api.spotify.com/v1/audio-analysis/7ABLbnD53cQK00mhcaOUVG,197920,4
